Break for Eating!,1696260861687,AUDIENCE,1688173200000,1688180400000,false,Eating the Food!
Start Praying!,1696260861687,AUDIENCE,1688166000000,1688173200000,false,Start The First Praying
Sitting In Front of Them!,1696260861687,Monk,1688166000000,1688187600000,false,
Set The Every Thing!,1696260861687,Staff,1688144400000,1688216400000,false,Be Ready for Setup The Whole Event!
DriveACar,1696265049313,BT,1696870800000,1697043600000,false,
Walking In The City,1696265049313,AUDIENCE,1696906800000,1696921200000,false,Say Champion!
Pay Attention to ME!,1696516508312,AUDIENCE,1687609800000,1687617000000,false,
Set Up The Project,1696516508312,Staff,1687474800000,1687604400000,false,
Dancing with ME,1696516508312,Staff,1687608000000,1687618800000,false,
Clening Every Thing UP,1696516508312,Staff,1687622400000,1687647600000,false,
Check Sound,1696516508312,Staff,1687600800000,1687608000000,false,
Be Ready To Watch,1696522084164,AUDIENCE,1696644000000,1696647600000,false,
Get The Thing Up,1696522084164,Dragon Team,1696633200000,1696647600000,false,
Watch The Movie Together,1696522084164,AUDIENCE,1696644000000,1696654800000,false,
Security,1696522084164,Dragon Team,1696644000000,1696654800000,false,
Clening Thing Up,1696522084164,Dragon Team,1696654800000,1696658400000,false,
Get in The Position,1696514294809,Sniper Team,1697166000000,1697173200000,false,
Look out The Danger,1696514294809,Sniper Team,1697173200000,1697202000000,false,
